Region,C09-Work Indicator,C10-Job Indicator,"C11 - Location of Work (Province, Municipality)",C13-Major Occupation Group,C15-Major Industry Group,C16-Nature of Employment (Primary Occupation),C21-Class of Worker (Primary Occupation)
1,1,92,1,1,8,40,40
1,1,61,1,1,9,63,63
1,1,91,55,1,8,48,48
1,1,13,11,1,10,70,70
1,1,93,11,1,5,35,35
1,1,61,1,1,7,49,49
1,1,92,1,1,7,49,49
1,1,93,41,1,8,48,48
1,1,14,47,1,6,30,30
1,1,52,47,1,6,30,30
1,1,91,96,1,4,16,16
1,1,93,41,1,8,48,48
1,1,71,41,1,8,16,16
1,1,82,26,1,8,48,48
1,1,1,84,1,12,60,60
1,1,52,10,1,8,48,48
1,1,54,84,1,5,15,15
1,1,91,96,1,4,8,8
1,1,93,41,1,8,48,48
1,1,52,47,1,8,48,48
1,1,61,1,1,3,21,56
1,1,52,56,1,1,5,26
1,1,54,84,1,4,4,4
1,1,51,56,1,10,50,50
1,1,92,1,3,8,8,8
1,1,92,1,3,10,60,60
1,1,92,1,3,10,60,60
1,1,93,41,1,8,48,48
1,1,32,84,1,8,16,16
1,1,54,84,1,4,8,8
1,1,52,47,1,8,8,8
1,1,54,80,1,12,72,72
1,1,83,49,1,8,56,56
1,1,23,85,1,8,40,40
1,1,23,85,1,8,40,40
1,1,42,92,1,8,56,56
1,1,33,85,1,8,48,48
1,1,93,41,1,8,48,48
1,1,83,49,1,8,32,32
1,1,52,47,1,8,56,56
1,1,41,84,1,8,40,40
1,1,93,47,1,1,6,6
1,1,93,47,1,2,14,14
1,1,14,47,1,8,40,40
1,1,52,47,1,11,77,77
1,1,91,96,1,12,84,84
1,1,71,31,1,8,40,40
1,1,91,31,2,8,40,40
1,1,73,31,2,8,40,40
1,1,42,45,1,8,48,48
1,1,22,86,1,8,40,40
1,1,52,47,2,8,40,40
1,1,91,47,1,8,48,48
1,1,24,84,1,8,40,40
1,1,75,31,1,8,48,48
1,1,41,84,2,8,40,40
1,1,93,31,2,8,40,40
1,1,71,31,1,8,48,48
1,1,75,10,1,8,40,40
1,3,52,47,1,14,98,98
1,3,93,47,2,5,10,10
1,1,71,31,1,6,48,48
1,1,52,47,1,11,77,77
1,1,93,41,2,8,48,48
1,1,93,41,2,8,24,45
1,1,71,41,2,8,48,48
1,3,52,47,1,15,105,105
1,3,93,47,1,8,56,56
1,1,52,47,2,8,48,48
1,1,71,41,2,8,48,48
1,1,71,31,1,8,48,48
1,1,96,93,1,7,35,35
1,1,22,84,1,8,40,40
1,1,71,31,2,8,48,48
1,1,83,49,1,6,36,36
1,1,71,31,2,8,48,48
1,1,43,69,1,7,42,42
1,1,83,49,1,10,50,50
1,1,23,85,1,8,40,40
1,1,52,47,2,8,48,48
1,1,61,1,1,4,28,36
1,1,93,41,2,8,8,8
1,1,61,1,1,3,21,21
1,1,83,42,2,8,48,48
1,1,61,1,1,3,21,21
1,3,52,47,1,13,91,91
1,1,83,84,1,8,40,40
1,1,61,1,1,4,28,28
1,1,92,2,2,5,20,20
1,1,41,85,2,8,40,40
1,1,11,84,1,8,5,61
1,1,61,1,2,4,8,8
1,1,83,49,1,9,45,45
1,1,91,46,2,6,30,30
1,1,93,41,2,8,40,40
1,1,93,41,2,8,40,40
1,1,61,1,1,4,28,28
1,1,52,47,1,13,91,91
1,1,61,1,1,3,21,21
1,1,91,96,1,8,48,48
1,1,83,8,1,8,40,40
1,1,92,1,2,8,8,8
1,1,96,53,1,8,48,48
1,1,11,84,1,8,40,40
1,1,93,13,2,8,48,48
1,1,93,32,1,8,48,48
1,1,61,1,1,4,20,20
1,1,13,11,1,8,48,48
1,1,22,86,1,6,36,36
1,1,14,45,1,8,48,48
1,1,91,45,1,8,40,40
1,1,93,13,2,2,4,4
